day,Account,daily_pnl,trade_count,win_rate,avg_trade_size,avg_leverage,long_ratio,sentiment
2024-02-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,259.62944200000004,30,0.23333333333333334,628.170305,,0.0,Extreme Greed
2024-02-18,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,477.6248299999999,97,0.6288659793814433,1774.6742268041237,,0.0,Greed
2024-02-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,4325.827543,95,0.8,2603.0126404210528,,0.0,Extreme Greed
2024-02-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-8.05898,6,0.16666666666666666,4127.966666666666,,0.0,Extreme Greed
2024-02-20,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3053.31353,35,0.7714285714285715,975.3142977142857,,0.0,Greed
2024-02-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,210.315294,4,1.0,8911.5,,0.0,Greed
2024-02-21,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1858.7985700000002,21,0.7142857142857143,7675.3304761904765,,0.0,Extreme Greed
2024-02-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,1,0.0,9999.6,,0.0,Extreme Greed
2024-02-22,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3894.1050699999996,86,0.46511627906976744,1912.7907025581394,,0.0,Greed
2024-02-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2,0.0,2710.7,,0.0,Greed
2024-02-23,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1418.55293,143,0.958041958041958,304.66713580419577,,0.0,Extreme Greed
2024-02-25,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,-30.7705,5,0.0,1580.0,,0.0,Greed
2024-02-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,4416.8473,37,0.918918918918919,1618.3243243243244,,0.0,Greed
2024-02-26,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2,0.0,3709.0,,0.0,Greed
2024-02-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,312.130593,55,0.34545454545454546,1501.5759999999998,,0.0,Extreme Greed
2024-02-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,576.38114,8,0.875,4338.525,,0.0,Extreme Greed
2024-02-28,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2503.747235,45,0.8666666666666667,197876.56888888887,,0.0,Extreme Greed
2024-02-29,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8493.192736,109,0.8899082568807339,44150.974128440364,,0.0,Extreme Greed
2024-02-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,1320.804256,7,0.42857142857142855,391515.5714285714,,0.0,Extreme Greed
2024-03-01,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8244.241409,137,0.9343065693430657,189669.1678832117,,0.0,Extreme Greed
2024-03-02,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1674.715167,24,0.875,26290.916666666668,,0.0,Extreme Greed
2024-03-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-1443.814567,7,0.0,2964.4285714285716,,0.0,Extreme Greed
2024-03-03,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,8361.086245,79,0.6835443037974683,617403.642278481,,0.0,Extreme Greed
